104 m3	m3/s
Storage	Release
76871.4038	582.2793
76822.4723	297.0437
76626.7462	279.6855
76700.1435	575.7381
77140.5271	671.0243
77238.3901	471.5038
77458.5819	355.6879
77727.7052	383.4667
77605.3764	379.9838
77605.3764	336.5174
77801.1025	367.7792
77996.8285	331.1655
77018.1983	569.1120
77409.6504	919.6745
77287.3216	1280.7143
77116.0613	706.6469
77336.2531	409.9713
77042.6641	709.3370
77434.1162	412.8030
77213.9244	895.6335
77947.8970	879.1815
77776.6367	923.5540
77703.2395	433.0212
77434.1162	644.2083
77311.7874	846.7303
77140.5271	1236.5967
76284.2256	1146.5208
76504.4174	768.5759
77164.9928	664.9362
77213.9244	198.5011
77042.6641	185.4753
77531.9792	234.4635
77947.8970	457.2038
77018.1983	612.4368
76749.0750	469.7765
77238.3901	487.2197
77140.5271	336.1776
77238.3901	98.6559
77116.0613	280.7615
77801.1025	451.6820
77996.8285	352.4032
77507.5134	691.2992
77605.3764	785.3677
77801.1025	410.1129
77996.8285	154.7516
77898.9655	866.8353
77018.1983	1081.1089
75941.7051	965.4063
75574.7187	594.7387
77923.4313	694.8105
78412.7464	71.1886
77996.8285	151.7500
77580.9107	838.6034
77385.1846	664.9362
76724.6092	493.7609
77458.5819	316.3841
77434.1162	353.9889
78094.6916	347.8158
77996.8285	276.6556
77042.6641	629.3702
76406.5544	773.7295
75917.2393	441.3181
76137.4311	343.8798
76308.6914	425.8571
77140.5271	358.3780
77458.5819	320.9715
77458.5819	649.6451
76577.8147	833.5347
75941.7051	905.1480
75574.7187	840.3874
76822.4723	518.3116
77409.6504	416.9372
77629.8422	106.1882
77385.1846	495.2616
76749.0750	401.3063
75574.7187	798.7899
75794.9105	557.7569
76871.4038	724.0051
77458.5819	426.4800
77605.3764	239.2774
77360.7189	500.8684
77213.9244	576.0779
77116.0613	653.8360
76822.4723	737.7105
75378.9927	866.3256
76895.8695	418.8911
77727.7052	635.7698
77605.3764	475.9496
77678.7737	535.6415
76088.4996	490.4478
76431.0202	232.1698
76749.0750	571.7454
76773.5408	697.7271
77311.7874	437.0705
76969.2668	685.7208
76455.4859	761.5250
75966.1708	719.1913
76308.6914	737.3141
76088.4996	1233.8216
76944.8010	782.5361
77458.5819	1027.4768
78021.2943	1545.8167
77874.4998	1145.0483
77483.0477	1212.5274
75917.2393	1218.0208
76308.6914	995.4221
76112.9654	762.7709
76724.6092	408.5838
77140.5271	636.9875
77018.1983	618.5249
76724.6092	697.8970
77116.0613	939.6379
76895.8695	1167.7301
77458.5819	841.9165
78094.6916	616.0613
77507.5134	1163.5392
76798.0065	1006.3241
76382.0887	932.5021
75868.3078	832.4020
76577.8147	959.2332
77972.3628	1641.5559
77116.0613	1615.8159
76993.7326	1580.8729
77042.6641	1433.0023
76455.4859	1553.8586
76235.2941	1366.7976
76259.7599	1490.8820
76675.6777	821.3018
77923.4313	450.8608
78143.6231	1159.4616
77678.7737	1554.8214
77238.3901	1527.0143
76088.4996	1648.0405
76112.9654	1439.5152
77556.4449	1251.9727
77091.5956	923.0442
76308.6914	746.3471
75941.7051	1028.8643
76259.7599	901.9765
75892.7736	926.1308
75672.5818	686.4004
76406.5544	552.3484
77458.5819	461.3664
77189.4586	928.8775
77238.3901	983.4158
76700.1435	1017.5659
76724.6092	961.8100
75990.6366	765.7158
76969.2668	313.0994
77776.6367	216.3690
77385.1846	754.7572
76895.8695	743.0057
76235.2941	968.9459
76015.1023	875.7551
75525.7872	883.4290
75476.8557	253.7473
77996.8285	293.1360
77580.9107	559.2294
77434.1162	388.5638
77556.4449	478.9511
77776.6367	683.2855
77458.5819	697.3873
77189.4586	525.4757
76895.8695	292.7396
76920.3353	624.6130
76944.8010	757.3057
77654.3080	863.8904
78021.2943	1161.4155
78437.2121	1011.7892
77531.9792	826.7387
77042.6641	668.4192
77434.1162	668.2776
76895.8695	865.9009
77067.1298	829.0606
77507.5134	830.9295
77874.4998	708.2043
77385.1846	700.7004
77042.6641	355.7162
77605.3764	734.0293
77507.5134	448.4539
77531.9792	686.3437
77801.1025	838.3486
77385.1846	906.2240
