Matrics,Variables,Subbasin,Percent_Change
Concentration,TSS,26,25.09
Concentration,TSS,27,-37.35
Concentration,TSS,28,40.30
Concentration,TSS,29,84.13
Concentration,TSS,30,75.76
Concentration,TSS,31,57.76
Concentration,TSS,32,22.81
Concentration,TSS,33,-62.27
Concentration,TSS,34,-25.09
Concentration,TSS,35,3.69
Concentration,TSS,36,642.45
Concentration,TSS,37,8.89
Concentration,TSS,38,251.83
Concentration,TSS,39,-53.50
Concentration,TSS,40,7.85
Concentration,TSS,41,-31.48
Concentration,TSS,42,52.69
Concentration,TSS,43,36.56
Concentration,TSS,44,-5.87
Concentration,TSS,45,64.65
Concentration,TSS,46,473.82
Concentration,TSS,47,29.73
Concentration,TSS,48,-11.92
Concentration,TSS,49,545.09
Concentration,TSS,50,70.86
Concentration,TSS,51,145.49
Concentration,TSS,52,-4.02
Concentration,TSS,53,124.27
Concentration,TSS,54,74.88
Concentration,TSS,55,272.55
Loading,TP,1,-32.12
Loading,TP,2,-7.10
Loading,TP,3,-9.52
Loading,TP,4,-14.71
Loading,TP,5,-34.78
Loading,TP,6,-23.02
Loading,TP,7,-8.03
Loading,TP,8,-5.43
Loading,TP,9,13.35
Loading,TP,10,23.94
Loading,TP,11,-27.84
Loading,TP,12,18.81
Loading,TP,13,71.65
Loading,TP,14,-8.11
Loading,TP,15,-25.02
Loading,TP,16,8.45
Loading,TP,17,-55.08
Loading,TP,18,-4.00
Loading,TP,19,-59.50
Loading,TP,20,-81.86
Loading,TP,21,11.73
Loading,TP,22,-61.56
Loading,TP,23,-39.61
Loading,TP,24,-9.85
Loading,TP,25,-19.48
Loading,TP,26,6.59
Loading,TP,27,-33.91
Loading,TP,28,-9.27
Loading,TP,29,-30.90
Loading,TP,30,17.32
Loading,TP,31,14.56
Loading,TP,32,4.86
Loading,TP,33,-7.45
Loading,TP,34,-49.12
Loading,TP,35,-68.01
Loading,TP,36,-30.09
Loading,TP,37,-26.13
Loading,TP,38,6.80
Loading,TP,39,-72.39
Loading,TP,40,-50.26
Loading,TP,41,-60.65
Loading,TP,42,-77.00
Loading,TP,43,-65.62
Loading,TP,44,-34.79
Loading,TP,45,4.56
Loading,TP,46,1.71
Loading,TP,47,-76.31
Loading,TP,48,-71.80
Loading,TP,49,-42.26
Loading,TP,50,-75.76
Loading,TP,51,-74.16
Loading,TP,52,-38.83
Loading,TP,53,-27.86
Loading,TP,54,-36.26
Loading,TP,55,-62.38
Concentration,TP,1,-9.76
Concentration,TP,2,32.27
Concentration,TP,3,-42.64
Concentration,TP,4,-37.86
Concentration,TP,5,9.55
Concentration,TP,6,21.29
Concentration,TP,7,-34.97
Concentration,TP,8,7.53
Concentration,TP,9,24.50
Concentration,TP,10,32.91
Concentration,TP,11,-13.62
Concentration,TP,12,33.94
Concentration,TP,13,82.24
Concentration,TP,14,-36.12
Concentration,TP,15,66.54
Concentration,TP,16,-3.88
Concentration,TP,17,36.60
Concentration,TP,18,48.10
Concentration,TP,19,48.26
Concentration,TP,20,-0.60
Concentration,TP,21,32.08
Concentration,TP,22,4.71
Concentration,TP,23,-25.12
Concentration,TP,24,30.71
Concentration,TP,25,0.42
Concentration,TP,26,10.40
Concentration,TP,27,1.41
Concentration,TP,28,-9.43
Concentration,TP,29,-4.33
Concentration,TP,30,27.02
Concentration,TP,31,15.14
Concentration,TP,32,9.85
Concentration,TP,33,-1.13
Concentration,TP,34,-42.60
Concentration,TP,35,-40.40
Concentration,TP,36,-56.24
Concentration,TP,37,-30.51
Concentration,TP,38,11.44
Concentration,TP,39,-55.43
Concentration,TP,40,-36.41
Concentration,TP,41,-44.35
Concentration,TP,42,-27.74
Concentration,TP,43,-40.77
Concentration,TP,44,-26.15
Concentration,TP,45,17.91
Concentration,TP,46,-36.85
Concentration,TP,47,-40.78
Concentration,TP,48,-53.72
Concentration,TP,49,-60.02
Concentration,TP,50,-54.52
Concentration,TP,51,-55.32
Concentration,TP,52,-29.66
Concentration,TP,53,-33.14
Concentration,TP,54,12.86
Concentration,TP,55,-38.78
Loading,TN,1,-93.08
Loading,TN,2,-82.30
Loading,TN,3,-78.45
Loading,TN,4,-82.32
Loading,TN,5,-84.71
Loading,TN,6,-86.18
Loading,TN,7,-17.12
Loading,TN,8,-27.50
Loading,TN,9,-64.22
Loading,TN,10,-41.05
Loading,TN,11,-56.01
Loading,TN,12,-36.84
Loading,TN,13,54.85
Loading,TN,14,-37.82
Loading,TN,15,-63.21
Loading,TN,16,-34.52
Loading,TN,17,-76.67
Loading,TN,18,-49.41
Loading,TN,19,-84.71
Loading,TN,20,-87.06
Loading,TN,21,-71.82
Loading,TN,22,-79.14
Loading,TN,23,-56.24
Loading,TN,24,-84.55
Loading,TN,25,-81.15
Loading,TN,26,-86.52
Loading,TN,27,-21.20
Loading,TN,28,-91.89
Loading,TN,29,-81.88
Loading,TN,30,50.11
Loading,TN,31,44.96
Loading,TN,32,-48.13
Loading,TN,33,-98.49
Loading,TN,34,-92.75
Loading,TN,35,-83.32
Loading,TN,36,-82.75
Loading,TN,37,-91.14
Loading,TN,38,-10.15
Loading,TN,39,-77.67
Loading,TN,40,-85.88
Loading,TN,41,-97.29
Loading,TN,42,-82.85
Loading,TN,43,-51.78
Loading,TN,44,-60.41
Loading,TN,45,-74.03
Loading,TN,46,-71.57
Loading,TN,47,-44.51
Loading,TN,48,-96.66
Loading,TN,49,-90.27
Loading,TN,50,-89.47
Loading,TN,51,-96.12
Loading,TN,52,-93.10
Loading,TN,53,-82.02
Loading,TN,54,-61.60
Loading,TN,55,-93.94
Concentration,TN,1,-93.55
Concentration,TN,2,-82.68
Concentration,TN,3,-90.37
Concentration,TN,4,-92.58
Concentration,TN,5,-82.58
Concentration,TN,6,-80.21
Concentration,TN,7,-89.37
Concentration,TN,8,-30.25
Concentration,TN,9,-52.09
Concentration,TN,10,-41.47
Concentration,TN,11,-82.28
Concentration,TN,12,-33.37
Concentration,TN,13,56.98
Concentration,TN,14,-89.41
Concentration,TN,15,21.45
Concentration,TN,16,-78.88
Concentration,TN,17,-36.24
Concentration,TN,18,12.63
Concentration,TN,19,-40.88
Concentration,TN,20,-62.12
Concentration,TN,21,-77.12
Concentration,TN,22,-70.45
Concentration,TN,23,-57.95
Concentration,TN,24,-46.79
Concentration,TN,25,-90.89
Concentration,TN,26,-73.85
Concentration,TN,27,6.05
Concentration,TN,28,-74.51
Concentration,TN,29,-94.66
Concentration,TN,30,38.93
Concentration,TN,31,10.14
Concentration,TN,32,-41.09
Concentration,TN,33,-97.21
Concentration,TN,34,-91.84
Concentration,TN,35,-83.16
Concentration,TN,36,-90.29
Concentration,TN,37,-83.32
Concentration,TN,38,-25.83
Concentration,TN,39,-73.45
Concentration,TN,40,-75.67
Concentration,TN,41,-97.04
Concentration,TN,42,-77.72
Concentration,TN,43,-80.30
Concentration,TN,44,-68.81
Concentration,TN,45,-82.83
Concentration,TN,46,-78.76
Concentration,TN,47,-78.88
Concentration,TN,48,-96.92
Concentration,TN,49,-90.54
Concentration,TN,50,-89.38
Concentration,TN,51,-90.07
Concentration,TN,52,-95.95
Concentration,TN,53,-87.07
Concentration,TN,54,-41.49
Concentration,TN,55,-81.36
Loading,NO3,1,-94.65
Loading,NO3,2,-89.45
Loading,NO3,3,-96.22
Loading,NO3,4,-90.22
Loading,NO3,5,-92.41
Loading,NO3,6,-92.73
Loading,NO3,7,-67.11
Loading,NO3,8,-66.58
Loading,NO3,9,-89.87
Loading,NO3,10,-72.82
Loading,NO3,11,-91.00
Loading,NO3,12,-82.67
Loading,NO3,13,-88.61
Loading,NO3,14,-85.09
Loading,NO3,15,-96.18
Loading,NO3,16,-90.83
Loading,NO3,17,-85.29
Loading,NO3,18,-90.50
Loading,NO3,19,-91.12
Loading,NO3,20,-91.53
Loading,NO3,21,-96.63
Loading,NO3,22,-88.89
Loading,NO3,23,-85.08
Loading,NO3,24,-92.99
Loading,NO3,25,-97.53
Loading,NO3,26,-98.30
Loading,NO3,27,-70.98
Loading,NO3,28,-98.35
Loading,NO3,29,-97.47
Loading,NO3,30,-38.11
Loading,NO3,31,-38.39
Loading,NO3,32,-93.72
Loading,NO3,33,-99.08
Loading,NO3,34,-95.30
Loading,NO3,35,-90.35
Loading,NO3,36,-94.11
Loading,NO3,37,-94.16
Loading,NO3,38,-89.54
Loading,NO3,39,-83.13
Loading,NO3,40,-97.86
Loading,NO3,41,-98.76
Loading,NO3,42,-86.61
Loading,NO3,43,-56.45
Loading,NO3,44,-90.47
Loading,NO3,45,-97.30
Loading,NO3,46,-92.01
Loading,NO3,47,-50.08
Loading,NO3,48,-98.56
Loading,NO3,49,-98.42
Loading,NO3,50,-92.43
Loading,NO3,51,-97.28
Loading,NO3,52,-98.85
Loading,NO3,53,-92.46
Loading,NO3,54,-87.35
Loading,NO3,55,-96.46
Concentration,NO3,1,-94.83
Concentration,NO3,2,-89.58
Concentration,NO3,3,-96.03
Concentration,NO3,4,-96.23
Concentration,NO3,5,-91.90
Concentration,NO3,6,-90.21
Concentration,NO3,7,-95.28
Concentration,NO3,8,-63.89
Concentration,NO3,9,-79.28
Concentration,NO3,10,-71.92
Concentration,NO3,11,-92.69
Concentration,NO3,12,-78.07
Concentration,NO3,13,-67.12
Concentration,NO3,14,-95.84
Concentration,NO3,15,-65.30
Concentration,NO3,16,-93.50
Concentration,NO3,17,-85.23
Concentration,NO3,18,-71.87
Concentration,NO3,19,-82.86
Concentration,NO3,20,-90.72
Concentration,NO3,21,-96.50
Concentration,NO3,22,-93.34
Concentration,NO3,23,-83.01
Concentration,NO3,24,-87.04
Concentration,NO3,25,-97.49
Concentration,NO3,26,-90.93
Concentration,NO3,27,-65.57
Concentration,NO3,28,-93.70
Concentration,NO3,29,-97.96
Concentration,NO3,30,-35.24
Concentration,NO3,31,-38.96
Concentration,NO3,32,-75.09
Concentration,NO3,33,-98.23
Concentration,NO3,34,-94.70
Concentration,NO3,35,-89.65
Concentration,NO3,36,-96.24
Concentration,NO3,37,-89.86
Concentration,NO3,38,-87.68
Concentration,NO3,39,-79.36
Concentration,NO3,40,-93.12
Concentration,NO3,41,-98.39
Concentration,NO3,42,-93.60
Concentration,NO3,43,-93.88
Concentration,NO3,44,-89.99
Concentration,NO3,45,-96.51
Concentration,NO3,46,-94.04
Concentration,NO3,47,-93.12
Concentration,NO3,48,-98.36
Concentration,NO3,49,-97.49
Concentration,NO3,50,-96.92
Concentration,NO3,51,-97.07
Concentration,NO3,52,-98.54
Concentration,NO3,53,-95.82
Concentration,NO3,54,-78.97
Concentration,NO3,55,-94.58
