Matrics,Variables,Subbasin,Percent_Change
Concentration,TSS,5,83.946872
Concentration,TSS,6,37.42628638
Concentration,TSS,7,121.4364748
Concentration,TSS,8,39.43088797
Concentration,TSS,9,49.17905469
Concentration,TSS,10,116.9283162
Concentration,TSS,11,15.58137446
Concentration,TSS,12,123.5064117
Concentration,TSS,13,157.4186822
Concentration,TSS,14,132.4944624
Concentration,TSS,15,61.03703735
Concentration,TSS,16,159.2812124
Concentration,TSS,17,43.37717913
Concentration,TSS,18,19.57561249
Concentration,TSS,19,25.21472039
Concentration,TSS,20,19.49593414
Concentration,TSS,21,75.79809217
Concentration,TSS,22,54.60238149
Concentration,TSS,23,17.78698484
Concentration,TSS,24,44.48785304
Concentration,TSS,25,139.574516
Concentration,TSS,26,24.63572489
Concentration,TSS,27,-8.150084063
Concentration,TSS,28,65.81947925
Concentration,TSS,29,51.98301293
Concentration,TSS,30,76.22207885
Concentration,TSS,31,57.09418169
Concentration,TSS,32,23.35489632
Concentration,TSS,33,-63.07825424
Concentration,TSS,34,-26.11247982
Concentration,TSS,35,4.4863132
Concentration,TSS,36,191.3935623
Concentration,TSS,37,9.452514796
Concentration,TSS,38,254.5984775
Concentration,TSS,39,-53.97063435
Concentration,TSS,40,14.31596815
Concentration,TSS,41,-30.13712436
Concentration,TSS,42,44.5434367
Concentration,TSS,43,40.5970372
Concentration,TSS,44,-6.908917171
Concentration,TSS,45,79.38461815
Concentration,TSS,46,295.2086831
Concentration,TSS,47,33.64271307
Concentration,TSS,48,-11.40440076
Concentration,TSS,49,187.8889916
Concentration,TSS,50,13.46943989
Concentration,TSS,51,223.9587008
Concentration,TSS,52,-1.62650368
Concentration,TSS,53,202.0184436
Concentration,TSS,54,73.79101598
Concentration,TSS,55,173.788855
Loading,TP,1,-33.33333333
Loading,TP,2,-6.129032258
Loading,TP,3,-2.479815456
Loading,TP,4,-14.11625148
Loading,TP,5,-32.90246769
Loading,TP,6,-23.61111111
Loading,TP,7,-5.802861685
Loading,TP,8,-5.005324814
Loading,TP,9,9.78865406
Loading,TP,10,21.47887324
Loading,TP,11,-26.12041648
Loading,TP,12,13.71080955
Loading,TP,13,67.15
Loading,TP,14,-10.40564374
Loading,TP,15,-26.38770282
Loading,TP,16,8.786848073
Loading,TP,17,-54.81115108
Loading,TP,18,-5.376582982
Loading,TP,19,-60.92774309
Loading,TP,20,-81.86226964
Loading,TP,21,13.21455085
Loading,TP,22,-60
Loading,TP,23,-36.27556512
Loading,TP,24,-9.467135515
Loading,TP,25,-12.027833
Loading,TP,26,4.441391941
Loading,TP,27,-21.50395778
Loading,TP,28,-7.588532884
Loading,TP,29,-32.95368261
Loading,TP,30,17.76315789
Loading,TP,31,14.26491994
Loading,TP,32,5.290831416
Loading,TP,33,-6.36333663
Loading,TP,34,-49.47368421
Loading,TP,35,-67.5041876
Loading,TP,36,-29.44942382
Loading,TP,37,-25.82159624
Loading,TP,38,10.31111111
Loading,TP,39,-72.3880597
Loading,TP,40,-48.71465296
Loading,TP,41,-60.4770017
Loading,TP,42,-76.70196672
Loading,TP,43,-65.43438078
Loading,TP,44,-35.39156627
Loading,TP,45,9.220532319
Loading,TP,46,4.948805461
Loading,TP,47,-75.70281124
Loading,TP,48,-71.4453584
Loading,TP,49,-39.34807916
Loading,TP,50,-71.77033493
Loading,TP,51,-78.40707965
Loading,TP,52,-37.86681716
Loading,TP,53,-25.89827345
Loading,TP,54,-33.38658147
Loading,TP,55,-61.78217822
Concentration,TP,1,-9.897437485
Concentration,TP,2,34.85458445
Concentration,TP,3,-40.62800591
Concentration,TP,4,-37.73072148
Concentration,TP,5,8.756330435
Concentration,TP,6,20.06626328
Concentration,TP,7,-34.28293691
Concentration,TP,8,8.635603944
Concentration,TP,9,22.9875132
Concentration,TP,10,32.0252404
Concentration,TP,11,-11.95056381
Concentration,TP,12,29.30264115
Concentration,TP,13,78.14187369
Concentration,TP,14,-35.4617711
Concentration,TP,15,66.72031622
Concentration,TP,16,-2.643377422
Concentration,TP,17,36.49033144
Concentration,TP,18,47.72784225
Concentration,TP,19,43.22501322
Concentration,TP,20,-3.448785072
Concentration,TP,21,36.30653894
Concentration,TP,22,3.726765296
Concentration,TP,23,-20.98792777
Concentration,TP,24,30.73242926
Concentration,TP,25,3.029075391
Concentration,TP,26,9.662173326
Concentration,TP,27,12.17522969
Concentration,TP,28,-10.78632951
Concentration,TP,29,-3.257435033
Concentration,TP,30,27.81165391
Concentration,TP,31,15.66154922
Concentration,TP,32,10.03928289
Concentration,TP,33,-0.118970322
Concentration,TP,34,-42.8779863
Concentration,TP,35,-39.92823121
Concentration,TP,36,-55.67829977
Concentration,TP,37,-30.26442674
Concentration,TP,38,16.87926412
Concentration,TP,39,-55.05530275
Concentration,TP,40,-36.94563955
Concentration,TP,41,-43.86062731
Concentration,TP,42,-28.96348403
Concentration,TP,43,-42.08357772
Concentration,TP,44,-26.79977579
Concentration,TP,45,22.14024127
Concentration,TP,46,-37.94904666
Concentration,TP,47,-42.04871194
Concentration,TP,48,-53.13760602
Concentration,TP,49,-59.46610304
Concentration,TP,50,-54.00930515
Concentration,TP,51,-55.21210479
Concentration,TP,52,-28.81895928
Concentration,TP,53,-32.74062052
Concentration,TP,54,13.94937761
Concentration,TP,55,-39.72165135
Loading,TN,1,-93.0637589
Loading,TN,2,-82.29654404
Loading,TN,3,-76.4260355
Loading,TN,4,-82.16002262
Loading,TN,5,-84.43714335
Loading,TN,6,-85.65340909
Loading,TN,7,-16.47058824
Loading,TN,8,-31.98717949
Loading,TN,9,-64.95726496
Loading,TN,10,-41.07784431
Loading,TN,11,-55.0115355
Loading,TN,12,-40.56672318
Loading,TN,13,53.17329826
Loading,TN,14,-40.41697147
Loading,TN,15,-61.55913978
Loading,TN,16,-34.32607866
Loading,TN,17,-76.73306773
Loading,TN,18,-53.66478729
Loading,TN,19,-85.22821577
Loading,TN,20,-87.03703704
Loading,TN,21,-71.21435595
Loading,TN,22,-78.57317371
Loading,TN,23,-55.42251112
Loading,TN,24,-84.39271499
Loading,TN,25,-79.46314444
Loading,TN,26,-87.26902599
Loading,TN,27,-11.23090746
Loading,TN,28,-91.42555159
Loading,TN,29,-82.59581882
Loading,TN,30,50.53304904
Loading,TN,31,47.52
Loading,TN,32,-46.36184857
Loading,TN,33,-98.5537885
Loading,TN,34,-92.92715903
Loading,TN,35,-83.24068927
Loading,TN,36,-82.89623717
Loading,TN,37,-91.09239408
Loading,TN,38,-6.481481481
Loading,TN,39,-79.78806907
Loading,TN,40,-84.93735763
Loading,TN,41,-97.26313046
Loading,TN,42,-82.69602163
Loading,TN,43,-52.07199665
Loading,TN,44,-60.22167488
Loading,TN,45,-72.99429339
Loading,TN,46,-70.63382231
Loading,TN,47,-44.7200567
Loading,TN,48,-96.70496687
Loading,TN,49,-90.06812478
Loading,TN,50,-89.05027933
Loading,TN,51,-96.05600684
Loading,TN,52,-92.4505598
Loading,TN,53,-81.74783796
Loading,TN,54,-59.81012658
Loading,TN,55,-93.7679446
Concentration,TN,1,-93.46769018
Concentration,TN,2,-82.60439025
Concentration,TN,3,-90.13181257
Concentration,TN,4,-92.63336282
Concentration,TN,5,-83.20735189
Concentration,TN,6,-81.00129172
Concentration,TN,7,-89.30163167
Concentration,TN,8,-35.37270091
Concentration,TN,9,-54.88798844
Concentration,TN,10,-40.91633446
Concentration,TN,11,-82.11330205
Concentration,TN,12,-36.06565562
Concentration,TN,13,55.9609852
Concentration,TN,14,-89.3338111
Concentration,TN,15,22.61133432
Concentration,TN,16,-78.7263956
Concentration,TN,17,-36.17418916
Concentration,TN,18,12.76351123
Concentration,TN,19,-43.10231036
Concentration,TN,20,-63.30941478
Concentration,TN,21,-76.39763441
