Subbasin	nHRU
1	24
2	39
3	60
4	57
5	33
6	66
7	39
8	39
9	27
10	63
11	51
12	42
13	27
14	66
15	54
16	75
17	43
18	45
19	69
20	66
21	51
22	63
23	60
24	66
25	39
26	63
27	48
28	39
29	36
30	45
31	33
32	48
33	51
34	54
35	60
36	81
37	60
38	54
39	51
40	45
41	81
42	66
43	78
44	42
45	66
46	39
47	51
48	63
49	84
50	72
51	93
52	48
53	81
54	54
55	72
