Sub	#HRUs
1	 28
2	 56
3	 96
4	 88
5	 52
6	 96
7	 52
8	 60
9	 36
10	 60
11	 64
12	 64
13	 36
14	100
15	 76
16	 72
17	 45
18	 68
19	104
20	 68
21	 64
22	 96
23	 76
24	124
25	 44
26	 76
27	 60
28	 76
29	 72
30	 56
31	 48
32	 64
33	 56
34	 68
35	 84
36	100
37	 72
38	 80
39	 72
40	 59
41	 96
42	 76
43	124
44	 52
45	 56
46	 36
47	 88
48	 64
49	120
50	 80
51	100
52	 92
53	 92
54	 76
55	 84
