Sub	#HRUs
1	28
2	56
3	92
4	84
5	52
6	100
7	52
8	60
9	36
10	60
11	60
12	56
13	36
14	92
15	80
16	72
17	50
18	68
19	104
20	64
21	64
22	96
23	76
24	124
25	44
26	72
27	64
28	76
29	72
30	56
31	48
32	64
33	56
34	76
35	84
36	96
37	72
38	84
39	72
40	48
41	96
42	76
43	124
44	48
45	56
46	48
47	84
48	68
49	104
50	92
51	96
52	104
53	92
54	76
55	84
