Sub	#HRUs
1	24
2	40
3	88
4	68
5	44
6	80
7	72
8	64
9	32
10	100
11	64
12	68
13	48
14	84
15	72
16	100
17	55
18	60
19	112
20	100
21	60
22	84
23	60
24	100
25	56
26	100
27	64
28	84
29	76
30	40
31	36
32	60
33	60
34	56
35	104
36	112
37	92
38	88
39	64
40	68
41	108
42	84
43	112
44	36
45	92
46	48
47	84
48	96
49	120
50	100
51	104
52	72
53	112
54	84
55	88
