Sub	#HRUs
1	28
2	44
3	100
4	68
5	44
6	72
7	56
8	56
9	28
10	60
11	60
12	64
13	40
14	88
15	68
16	72
17	47
18	60
19	92
20	100
21	56
22	88
23	60
24	100
25	32
26	84
27	52
28	72
29	68
30	40
31	48
32	56
33	60
34	68
35	72
36	88
37	72
38	60
39	60
40	51
41	84
42	68
43	132
44	52
45	60
46	40
47	88
48	64
49	112
50	80
51	92
52	80
53	80
54	64
55	72
