Sub	#HRUs
1	32
2	44
3	104
4	80
5	52
6	88
7	56
8	56
9	32
10	68
11	68
12	76
13	48
14	96
15	84
16	92
17	51
18	80
19	112
20	112
21	64
22	100
23	48
24	116
25	32
26	104
27	36
28	84
29	84
30	40
31	36
32	56
33	72
34	76
35	84
36	96
37	88
38	84
39	60
40	60
41	96
42	80
43	132
44	36
45	72
46	52
47	92
48	68
49	104
50	100
51	104
52	92
53	88
54	76
55	72
