Sub	#HRUs
1	32
2	52
3	80
4	76
5	44
6	88
7	52
8	52
9	36
10	84
11	68
12	56
13	36
14	88
15	72
16	100
17	55
18	60
19	92
20	88
21	68
22	84
23	79
24	88
25	52
26	84
27	64
28	52
29	48
30	60
31	44
32	64
33	68
34	72
35	80
36	108
37	80
38	72
39	68
40	60
41	108
42	88
43	104
44	56
45	88
46	52
47	68
48	84
49	112
50	96
51	124
52	64
53	108
54	72
55	96
