1985-01-01
     obs	     sim
   24776	    9234
   25160	    9131
   25253	    8906
   25346	    8681
   25358	    8507
   25375	    8482
   25385	    8221
   25393	    8184
   25393	    7996
   25329	    7770
   25282	    7538
   25370	    7440
   25444	    7341
   25498	    7210
   25463	    6932
   25427	    6668
   25427	    6452
   25434	    6219
   25427	    6093
   25385	    6293
   25363	    6155
   25375	    8029
   25368	   11620
   25750	   12980
   26087	   13000
   26283	   12850
   26462	   12750
   26577	   16230
   26719	   16370
   27166	   16340
   27308	   16120
   27545	   15880
   27773	   15720
   27886	   15630
   27969	   15520
   28086	   15450
   28196	   15380
   28228	   15300
   28275	   15270
   28399	   15270
   28475	   15270
   28573	   15210
   28590	   15140
   28627	   15060
   28639	   14980
   28634	   14910
   28683	   15490
   28752	   16450
   28840	   17800
   28952	   17840
   29043	   17850
   29143	   17850
   29111	   17740
   29084	   17650
   29035	   17530
   28967	   17390
   28952	   17320
   28903	   17230
   28903	   17160
   28930	   17090
   28940	   17510
   29009	   17510
   28984	   17380
   28979	   17300
   28962	   17210
   28925	   17100
   28898	   16980
   28854	   16880
   28840	   17070
   28832	   16960
   28850	   16860
   28827	   16760
   28818	   16670
   28769	   16530
   28759	   16390
   28725	   16250
   28622	   16060
   28607	   16280
   28607	   16160
   28651	   16020
   28651	   15910
   28622	   15770
   28627	   15640
   28639	   15510
   28693	   15420
   28764	   15340
   28786	   15650
   28832	   15580
   28837	   15640
   28867	   16240
   28930	   16130
   28999	   16050
   28967	   15910
   28930	   15780
   28935	   15960
   28945	   16040
   29004	   17070
   28994	   18060
   29111	   17980
   29329	   17920
   29478	   17860
   29542	   17800
   29630	   17730
   29672	   17660
   29738	   17600
   29765	   17460
   29745	   17330
   29796	   17230
   29791	   17080
   29826	   17370
   29887	   17380
   29933	   17370
   29965	   17230
   30041	   17140
   30026	   16990
   30026	   16850
   30083	   16700
   30087	   16600
   30097	   16420
   30117	   16200
   30149	   16020
   30112	   15840
   29960	   15540
   30046	   15430
   30041	   15310
   29965	   15030
   30041	   14800
   29985	   14570
   29950	   14380
   29816	   14490
   29796	   14810
   29765	   14670
   29610	   14520
   29610	   14310
   29672	   14140
   29848	   14060
   29740	   13920
   29645	   13770
   29579	   13620
   29481	   13430
   29486	   13280
   29437	   13200
   29390	   12980
   29385	   13040
   29432	   12940
   29478	   12840
   29290	   12520
   29295	   12340
   29180	   12030
   29099	   11770
   29021	   11500
   29026	   11340
   28999	   11190
   28886	   12290
   28854	   12120
   28823	   11920
   28832	   11730
   28823	   11510
   28850	   11440
   28845	   11300
   28725	   11040
   28688	   10900
   28617	   10700
   28627	   10490
   28573	   10280
   28568	   10130
   28524	    9984
   28404	    9769
   28338	   10930
   28328	   11960
   28350	   12240
   28497	   12270
   28519	   12410
   28453	   12700
   28360	   12730
   28368	   12440
   28377	   12040
   28350	   12240
   28279	   11850
   28341	   11480
   28355	   11100
   28250	   10950
   28206	   11030
   28250	   10630
   28262	   10250
   28240	    9857
   28250	    9709
   28174	    9557
   28059	    9214
   27930	    9114
   27942	    8764
   28003	    8517
   28013	    8894
   28047	    9359
   27998	   10970
   27920	   12230
   27986	   13480
   28047	   14250
   28057	   14110
   28069	   13760
   28091	   13630
   28015	   13490
   27925	   13130
   27859	   12770
   27842	   13300
   27820	   12980
   27834	   12610
   27815	   12460
   27724	   12630
   27629	   12650
   27607	   12460
   27859	   12320
   27898	   12090
   27969	   11810
   27969	   11530
   27859	   11180
   27656	   10780
   27382	   10220
   27386	    9807
   27364	    9319
   27267	    8796
   27431	    8508
   27470	    8084
   27132	    7368
   27046	    6919
   26924	    6475
   26880	    6070
   26846	    5741
   26897	    5441
   26719	    4973
   26697	    4701
   26655	    5407
   26697	    6658
   26841	    6495
   26914	    7957
   27000	   10850
   27068	   15160
   27325	   15450
   27673	   15500
   27864	   15530
   27998	   15540
   28157	   15560
   28228	   15570
   28294	   15570
   28316	   15490
   28262	   15260
   28201	   20100
   28108	   26340
   28069	   28390
   28644	   28550
   28957	   28470
   29021	   28300
   29067	   28120
   29021	   27900
   29016	   27710
   28945	   27500
   29057	   27530
   29146	   27560
   29040	   27740
   28967	   27870
   29026	   29210
   28896	   30520
   28796	   30940
   29013	   31480
   29082	   33690
   28994	   35690
   29004	   35500
   29163	   36160
   29246	   36930
   29422	   36720
   29422	   36420
   29400	   36150
   29158	   35700
   29023	   37020
   28793	   39270
   28617	   38950
   28458	   44100
   28306	   48140
   28490	   51760
   28561	   52600
   28566	   52130
   29363	   51640
   29711	   51210
   29588	   51010
   29373	   51390
   29094	   51230
   28827	   50790
   28757	   50340
   28627	   49870
   28465	   49170
   28387	   48560
   28140	   49530
   27790	   52810
   27550	   52850
   27629	   52830
   28228	   52500
   28759	   52010
   28908	   51420
   28930	   51020
   28837	   50610
   28730	   50170
   28639	   49890
   28505	   49410
   28416	   48980
   28272	   48510
   28130	   48050
   27925	   50120
   27773	   52840
   27753	   52860
   27741	   52550
   27690	   52180
   27499	   51790
   27357	   51400
   27205	   51030
   27027	   50600
   26838	   50380
   26633	   50180
   26376	   49680
   26139	   49180
   26148	   48720
   25813	   48210
   25537	   47740
   25292	   47230
   25092	   46780
   24898	   46600
   24803	   46210
   24487	   45650
   24360	   45390
   24360	   45180
   24069	   45520
   23983	   45220
   23883	   45710
   23717	   50430
   23528	   53020
   23832	   53060
   25177	   53040
   25782	   53160
   25936	   52830
   26016	   52430
   26007	   52900
   25855	   52950
   25752	   52640
   25919	   52210
   26046	   52760
   26085	   52870
   25975	   52820
   25982	   52530
   25845	   52860
   25622	   52830
   25701	   52440
   25982	   52020
   26058	   51530
   25970	   51130
   25901	   50780
   25733	   50340
   25461	   49890
   25278	   49270
   25189	   48840
   25013	   48200
   24862	   47780
   24705	   48510
   24610	   50250
   24343	   50830
   24181	   50720
   24111	   50310
   24040	   49870
   23966	   49750
   23920	   51120
   23766	   52890
   23607	   52640
   23455	   52140
   23399	   51690
   23680	   53020
   23516	   52930
   24008	   52870
   25388	   53030
   26816	   52740
   27426	   52520
   27741	   52150
   28052	   51650
   28272	   51220
   28394	   50970
   28434	   51000
   28294	   50850
   28157	   50460
   28179	   50700
   28157	   50170
   28169	   49620
   28086	   49060
   28042	   48750
   27824	   48460
   27717	   48150
   27685	   49420
   27695	   49310
   27753	   49060
   27736	   48790
   27707	   48690
   27651	   48570
   27685	   48850
   27802	   48840
   27925	   48660
   28091	   48600
   28421	   48600
   28409	   49270
   28426	   51110
   28563	   51220
   28627	   50980
   28891	   53090
   29026	   53070
   29084	   53080
   29322	   53230
   29481	   53320
   29630	   53200
   29635	   52970
   29904	   52670
   30178	   52490
   30254	   52330
   30423	   52390
   30528	   52950
   30687	   53370
   30936	   53370
   31656	   53270
   32121	   53190
   32642	   53330
   33001	   53490
   33381	   53500
   33623	   53310
   33990	   53270
   34342	   53230
   34658	   53210
   34804	   53250
   35064	   53430
   35683	   53530
   36011	   53490
   36201	   53330
   36429	   53280
   36598	   53400
   36757	   53290
   36967	   53410
   37139	   53490
   37310	   53490
   37501	   53290
   37662	   53260
   37811	   53180
   37973	   53270
   38117	   53180
   38237	   53250
   38320	   53060
   38477	   52930
   38660	   53280
   38829	   53190
   39000	   53070
   39177	   53140
   39397	   53400
   39531	   53250
   39683	   53300
   39683	   52990
   40011	   53290
   40153	   53110
   40622	   53310
   40764	   53140
   40833	   52920
   40870	   52630
   41007	   53130
   41151	   53190
   41418	   53010
   41726	   52860
   41900	   52870
   41852	   52440
   41958	   53140
   41939	   52710
   42442	   52800
   42713	   52770
   42820	   52780
   42947	   52780
   42833	   52570
   42827	   52170
   42846	   52020
   42694	   52280
   42631	   51950
   42732	   51670
   42751	   51810
   42707	   51990
   42763	   52110
   42852	   52520
   43036	   53370
   43061	   53380
   43214	   53230
   43367	   53160
   43596	   53240
   43763	   53310
