!!USGS Station ID 03609750: Tennessee River at Highway 60 near Paducah, KY
197310										
YYYYMM  Flow_cms  Sed_ton  TP_ton   TN_ton  NO2+3_ton NO3_ton  Sed_sd  TP_sd   TN_sd   NO2+3_sd   NO3_sd 
200207         693     5250     100     987        153   -9999     813      13      68         21   -9999
200208         752     7400     118    1034        156   -9999    1213      16      75         22   -9999
200209         985    13500     201    1334        284   -9999    2505      33     111         51   -9999
200210        1100    15100     200    1445        470   -9999    1800      22     120         83   -9999
200211        1860    29700     427    3010       1500   -9999    3675      50     309        275   -9999
200212        3290    55700    1070    7540       4740   -9999    7025     126     912        873   -9999
200301        1480    19100     301    3510       2350   -9999    1975      31     395        380   -9999
200302        5050    54700    2130   12990       8320   -9999    7725     390    2263       2178   -9999
200303        2860    26900     804    7700       5040   -9999    3225     103     915        878   -9999
200304        1440     8810     205    2740       1460   -9999     875      20     260        228   -9999
200305        4820    34800    1510    9250       3650   -9999    4975     248    1110        865   -9999
200306        1500     8920     198    2090        640   -9999     910      19     179         99   -9999
200307        1430    10200     202    1883        463   -9999    1095      21     175         75   -9999
200308        1430    13200     225    1789        419   -9999    1575      25     183         74   -9999
200309        1340    15400     229    1587        437   -9999    1950      27     174         82   -9999
200310        1090    16400     200    1412        519   -9999    3250      23     126        102   -9999
200311        1300    20900     254    2016       1070   -9999    3975      29     224        210   -9999
200312        2220    37200     549    4730       3090   -9999    7075      63     600        585   -9999
200401        1810    23500     362    4500       3190   -9999    3900      38     579        570   -9999
200402        3840    41500    1330   10030       6840   -9999    8775     198    1483       1453   -9999
200403        2380    19700     555    5990       3850   -9999    3650      64     719        700   -9999
200404        1030     5730     139    1780        820   -9999     970      14     156        142   -9999
200405         950     5070     118    1494        519   -9999     810      11     105         84   -9999
200406        1350     8180     191    1941        521   -9999    1473      21     141         94   -9999
200407        1350     9880     201    1884        434   -9999    1815      22     142         83   -9999
200408        1120    10800     171    1432        312   -9999    2085      19     109         59   -9999
200409        1890    25900     444    2484        744   -9999    6400      65     248        178   -9999
200410        1660    29400     381    2173        973   -9999    7975      44     237        200   -9999
200411        2330    43700     613    3750       2230   -9999   11350      69     474        445   -9999
200412        6840   132000    4370   15870      11000   -9999   43700     758    2781       2710   -9999
200501        2830    41900     704    7040       5200   -9999    8775      64     846        828   -9999
200502        2320    22200     486    5130       3680   -9999    4600      47     606        590   -9999
200503        1830    15500     350    3970       2650   -9999    3200      32     437        420   -9999
200504        1920    12300     344    3320       1780   -9999    2635      33     325        293   -9999
200505        1010     5710     124    1377        528   -9999    1115      10     106         77   -9999
200506         912     5280     108    1057        285   -9999    1050       9      80         42   -9999
200507        1050     7820     143    1194        271   -9999    1718      13      99         45   -9999
200508         951     9630     144    1013        247   -9999    2298      14      92         45   -9999
200509        1080    14100     177    1120        353   -9999    3545      19     109         67   -9999
200510         730    14300     141     928        402   -9999    3998      14      86         68   -9999
200511         721    14500     140    1115        671   -9999    3988      14     120        111   -9999
200512         965    18400     182    2031       1440   -9999    4700      16     228        220   -9999
200601        2320    36700     671    6300       4680   -9999   10200      70     824        798   -9999
200602        1510    14700     219    3414       2480   -9999    3365      19     362        345   -9999
200603         933     6730     133    1958       1260   -9999    1608      11     197        183   -9999
200604        1010     5550     130    1659        784   -9999    1228      10     141        104   -9999
200605         888     4650     112    1321        442   -9999    1033       8     111         59   -9999
200606         622     3340    81.9     815        183   -9999     833       8      75         28   -9999
200607         669     5040    97.3     882        160   -9999    1290       9      90         25   -9999
200608         748     8300     119     961        188   -9999    2228      11     108         31   -9999
200609         869    14000     154    1089        301   -9999    4045      15     132         52   -9999
200610         833    17500     174     999        397   -9999    4625      14      88         76   -9999
200611        1560    39800     370    2197       1230   -9999   10725      37     310        302   -9999
200612         965    17700     199    1753       1150   -9999    4600      17     238        234   -9999
200701        2280    40700     588    5150       3730   -9999   11300      69    1063       1058   -9999
200702         907     6690     129    1620       1050   -9999    1695      11     216        212   -9999
200703         868     5330     128    1522        853   -9999    1273      11     172        166   -9999
200704         469     1550    57.3     705        289   -9999     430       5      72         64   -9999
200705         566     2090    70.1     757        192   -9999     503       5      50         33   -9999
200706         513     2140    65.3     630        110   -9999     540       5      42         20   -9999
200707         519     3270    77.3   623.4       93.4   -9999     848       6      43         18   -9999
200708         622     6530     107     695        114   -9999    1710       9      49         23   -9999
200709         435     5530    85.1     483        132   -9999    1643       9      46         35   -9999
200710         361     6860    74.6     462        166   -9999    2073       7      37         30   -9999
200711         514    10500     106     829        445   -9999    2835       8      75         71   -9999
200712         862    16000     179    1856       1200   -9999    3798      11     172        167   -9999
200801         977    11800     186    2417       1650   -9999    2658      11     222        218   -9999
200802        1530    11700     269    3590       2390   -9999    2520      17     309        300   -9999
200803        1470     7530     244    3100       1750   -9999    1550      15     225        210   -9999
200804        1410     5500     208    2370       1010   -9999    1145      13     149        124   -9999
200805         864     3130     119    1265        343   -9999     678       7      71         43   -9999
200806         677     2830    90.9     883        167   -9999     648       6      51         23   -9999
200807         554     3770    83.2     700        107   -9999     930       6      43         15   -9999
200808         711     9120     123     864        154   -9999    2320       9      59         23   -9999
200809         557     9670     105     657        157   -9999    2540       8      45         24   -9999
200810         370     6080    75.7     507        146   -9999    1718       6      31         25   -9999
200811         374     5670    75.7     579        234   -9999    1610       6      43         39   -9999
200812        2470    46300     709    5920       3770   -9999   14925      58     753        743   -9999
200901        2630    33800     682    7120       4780   -9999    9800      50     841        833   -9999
200902        1300     7770     231    2970       1850   -9999    1695      13     234        230   -9999
200903        1610     7120     285    3590       1980   -9999    1470      15     241        233   -9999
200904        1880     6750     308    3440       1540   -9999    1528      18     220        205   -9999
200905        3380    14600     638    5530       1980   -9999    4980      55     465        413   -9999
200906         964     3890     146    1322        262   -9999     973      10      62         36   -9999
200907         803     5010     138    1088        170   -9999    1373      10      52         25   -9999
200908         950     9670     194    1260        210   -9999    2825      15      67         34   -9999
200909        1550    29000     410    2076        536   -9999   10975      38     155        116   -9999
200910        1060    22600     243    1391        473   -9999    5125      16      89         71   -9999
200911        1070    22600     244    1592        748   -9999    4950      15     117        107   -9999
200912        1450    26300     342    2930       1790   -9999    5250      19     245        238   -9999
201001        1390    16600     301    3340       2250   -9999    3175      17     296        290   -9999
201002        1990    15700     374    4460       3020   -9999    3075      21     392        385   -9999
201003         751     3750     104    1527        914   -9999     675       5     114        109   -9999
201004         495     1790    60.8     776        363   -9999     360       3      53         48   -9999
201005        2680    12500     601    4070       1560   -9999    3618      66     375        308   -9999
201006         418     1700    51.4     484        114   -9999     360       3      28         16   -9999
201007         331     2050    47.4   365.2       66.2   -9999     475       3      23         10   -9999
201008         552     6030    99.8     590        116   -9999    1473       7      39         18   -9999
201009         375     5080    66.4   381.9       89.9   -9999    1218       5      26         14   -9999
201010         630    12400     131     805        255   -9999    2920       9      51         38   -9999
201011         855    15700     176    1256        556   -9999    3458      11      86         76   -9999
201012        2030    37100     500    4020       2280   -9999    8250      30     315        300   -9999
201101        1770    21200     377    4140       2610   -9999    4250      21     320        310   -9999
201102        1540    10500     251    3380       2130   -9999    1963      13     255        248   -9999
201103        3760    25600     799    9370       5750   -9999    5625      55     807        778   -9999
201104        3440    19600     668    6890       3520   -9999    4650      48     554        508   -9999
201105        3210    20200     661    5710       2340   -9999    5275      53     458        388   -9999
201106        1060     7100     170    1425        365   -9999    1703      11      82         50   -9999
201107         929     8530     162    1201        253   -9999    1965      11      69         37   -9999
201108         776    10400     146     943        186   -9999    2478      10      55         27   -9999
201109        1160    22800     254    1398        348   -9999    5825      18      89         55   -9999
201110         782    20500     162     974        330   -9999    4825      12      62         40   -9999
201111        1580    41800     365    2430       1240   -9999    9850      26     180        159   -9999
201112        4110   102000    1140    8380       5240   -9999   24150      87     679        640   -9999
201201        3510    62500     820    8460       5850   -9999   13350      56     660        638   -9999
201202        2570    32300     482    5820       4030   -9999    7100      32     446        430   -9999
201203        2160    21000     360    4660       2990   -9999    4275      22     311        293   -9999
201204         494     3530    57.9     743        370   -9999     870       4      51         42   -9999
201205         441     3310    54.4     578        210   -9999     795       4      36         24   -9999
201206         529     4790    70.1     619        167   -9999    1113       5      37         19   -9999
201207         547     7230    85.2     627        136   -9999    1768       6      40         16   -9999
201208         994    20000     189    1149        260   -9999    5125      15      78         34   -9999
201209        1050    28100     216    1191        330   -9999    7525      18      83         44   -9999
201210	1210	27700	260	1626	546.00	-9999	4950	17	86	63	-9999
201211	858	14200	155	1212	549.00	-9999	2403	10	71	61	-9999
201212	1620	23100	306	3130	1860	-9999	3750	17	205	195	-9999
201301	4650	82400	1120	11550	7800	-9999	15275	77	847	825	-9999
201302	4000	57000	748	9330	6250	-9999	10075	46	642	620	-9999
201303	2820	25200	459	6440	4010	-9999	4075	25	383	368	-9999
201304	2350	16800	344	4250	2200	-9999	3050	21	237	215	-9999
201305	3680	42600	719	5960	2690	-9999	7100	45	385	330	-9999
201306	1920	23600	315	2448	768	-9999	3575	18	134	89	-9999
201307	3080	56600	728	3740	1060	-9999	10325	49	249	152	-9999
201308	1690	38000	357	1873	483	-9999	7150	24	115	62	-9999
201309	1190	25500	234	1221	370	-9999	5175	17	76	46	-9999
201310	1140	19500	225	1512	516	-9999	2900	15	80	54	-9999
201311	1130	16500	196	1532	671	-9999	2225	12	90	67	-9999
201312	2960	48900	639	5230	2770	-9999	7225	38	337	285	-9999
201401	2820	45700	555	6270	3910	-9999	6850	31	435	398	-9999
201402	3220	32700	508	6500	3820	-9999	4275	29	400	343	-9999
201403	1860	19000	286	4240	2430	-9999	2525	18	257	218	-9999
201404	1290	7940	148	2107	717	-9999	1393	11	134	77	-9999
201405	941	6990	116	1536	416	-9999	1048	7	102	41	-9999
201406	1200	10300	165	1863	293	-9999	1668	11	164	34	-9999
201407	776	8110	111	1177	167	-9999	1133	7	97	17	-9999
201408	965	12700	163	1440	200	-9999	1968	11	119	21	-9999
201409	970	15000	170	1372	262	-9999	2375	13	107	29	-9999
