!!USGS Station ID 03609750: Tennessee River at Highway 60 near Paducah, KY
197310										
YYYYMM  Flow_cms  Sed_ton  TP_ton   TN_ton  NO2+3_ton NO3_ton  Sed_sd  TP_sd   TN_sd   NO2+3_sd   NO3_sd 
198105         662     3920      99     978        302   -9999     745       7      98         62   -9999
198106        1690    12800     301    2458        758   -9999    2365      22     236        158   -9999
198107        1100     8760     178    1455        315   -9999    1410      12     123         59   -9999
198108         928     8740     143    1180        225   -9999    1370      10     102         43   -9999
198109         964    11000     145    1214        254   -9999    1703      10     106         50   -9999
198110         962    13200     161    1627        417   -9999    2115       9     181         73   -9999
198111         820    11100     127    1445        455   -9999    1928       8     167         86   -9999
198112        1350    20700     249    3070       1300   -9999    3450      13     342        231   -9999
198201        4290    76400    1090   14870       8720   -9999   17000      88    2341       1973   -9999
198202        3940    51000     870   12630       7530   -9999   10125      66    1840       1548   -9999
198203        2410    25700     531    7540       4150   -9999    4550      35     986        788   -9999
198204        1320     9610     233    3040       1320   -9999    1673      13     360        244   -9999
198205         978     6360     164    1950        650   -9999    1145       9     236        124   -9999
198206         816     5120     127    1399        349   -9999     928       8     183         68   -9999
198207        1080     8740     187    1875        395   -9999    1455      10     248         71   -9999
198208        1280    12900     230    2223        443   -9999    2120      12     301         79   -9999
198209        1110    12900     187    1879        379   -9999    2053      10     259         66   -9999
198210         933    12400     153    1674        394   -9999    1725      10     208         67   -9999
198211        1150    16100     195    2290        720   -9999    2350      13     274        128   -9999
198212        4250    79600    1030   12410       5770   -9999   14650      89    1780       1270   -9999
198301        2550    38100     555    7610       3700   -9999    6075      42     969        695   -9999
198302        2610    29300     511    7550       3900   -9999    4475      38     959        713   -9999
198303        1680    16600     338    5020       2450   -9999    2600      25     649        470   -9999
198304        3470    34100     789   10310       4890   -9999    5825      67    1435        973   -9999
198305        4270    46800    1110   12080       4950   -9999   10500     116    2036       1240   -9999
198306        2190    19900     449    4920       1530   -9999    3475      35     718        335   -9999
198307        1190    10700     207    2315        485   -9999    1535      13     331         85   -9999
198308        1070    11300     182    2032        372   -9999    1583      11     304         64   -9999
198309         823     9190     127    1484        264   -9999    1280       9     237         45   -9999
198310         653     7890    84.7    1176        317   -9999    1133       9     169         76   -9999
198311        1190    16800     173    2750       1010   -9999    2500      17     391        257   -9999
198312        3890    68800     853   12840       5810   -9999   12075     109    2046       1535   -9999
198401        1810    22600     282    5680       2780   -9999    3175      27     832        680   -9999
198402        1560    14400     215    4710       2410   -9999    2075      21     725        613   -9999
198403        2280    21000     367    7760       3940   -9999    2875      37    1139        930   -9999
198404        2020    16300     312    6050       2770   -9999    2300      32     880        660   -9999
198405        5970    64200    1660   20720       8720   -9999   13975     363    3952       2733   -9999
198406        1190     8910     152    2527        757   -9999    1215      16     364        177   -9999
198407        1200    10900     157    2467        617   -9999    1465      17     367        144   -9999
198408        1270    13900     167    2609        609   -9999    1900      18     397        145   -9999
198409         987    11600     120    1907        457   -9999    1540      13     305        114   -9999
198410         966    15100     122    2090        620   -9999    2500      14     251        134   -9999
198411        1610    29200     234    4190       1560   -9999    5200      29     530        364   -9999
198412        1900    32700     296    5770       2470   -9999    5900      37     754        575   -9999
198501        1510    19000     211    4820       2280   -9999    3700      27     648        530   -9999
198502        3030    31100     511   10570       5380   -9999    5700      73    1548       1278   -9999
198503         910     5460     109    2660       1240   -9999    1153      14     378        301   -9999
198504         458     1770    50.5    1073        432   -9999     375       8     168        114   -9999
198505         883     4740     105    2161        771   -9999     855      14     293        175   -9999
198506         753     4160    82.8    1573        453   -9999     715      11     227        103   -9999
198507         898     7350     104    1917        477   -9999    1223      14     272        107   -9999
198508        1110    13200     133    2429        579   -9999    2183      19     342        133   -9999
198509         750     8570    80.8    1511        371   -9999    1400      12     233         89   -9999
198510         839    10600     114    1667        337   -9999    2490      13     192         49   -9999
198511        1080    13100     152    2345        605   -9999    3155      17     269         92   -9999
198512        1240    13200     188    3160       1030   -9999    3243      21     361        161   -9999
198601         805     4620     109    2160        860   -9999    1348      12     239        143   -9999
198602        1730    12900     293    4870       1960   -9999    3320      37     649        320   -9999
198603        1310     7910     210    3830       1490   -9999    1880      24     458        223   -9999
198604         281      668    35.9     608        223   -9999     231       8      86         41   -9999
198605         416     1990    57.3     864        213   -9999     565       9     122         33   -9999
198606         811     5900     114    1657        317   -9999    1535      13     237         52   -9999
198607         499     3340    63.9     914        139   -9999     790       8     137         21   -9999
198608         484     4030    61.9     870        118   -9999     963       8     137         18   -9999
198609         777     9870     104    1483        203   -9999    2328      12     228         35   -9999
198610       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198611       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
198612       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
