      CROP        SUB        HRU       YEAR      YIELD    BIOMASS
      SWCH          5        228          8        0.0        0.0
      SWCH          5        228          9        0.0        0.0
      SWCH          5        228         10        0.0        0.0
      SWCH          6        265          1       19.7    20355.6
      SWCH          6        265          2        0.0        0.0
      SWCH          6        265          3        0.0        0.0
      SWCH          6        265          4        0.0        0.0
      SWCH          6        265          5        0.0        0.0
      SWCH          6        265          6        0.0        0.0
      SWCH          6        265          7        0.0        0.0
      SWCH          6        265          8        0.0        0.0
      SWCH          6        265          9        0.0        0.0
      SWCH          6        265         10        0.0        0.0
      SWCH          6        266          1       18.9    19668.8
      SWCH          6        266          2        0.0        0.0
      SWCH          6        266          3        0.0        0.0
      SWCH          6        266          4        0.0        0.0
      SWCH          6        266          5        0.0        0.0
      SWCH          6        266          6        0.0        0.0
      SWCH          6        266          7        0.0        0.0
      SWCH          6        266          8        0.0        0.0
      SWCH          6        266          9        0.0        0.0
      SWCH          6        266         10        0.0        0.0
      SWCH          6        267          1       18.8    19631.4
      SWCH          6        267          2        0.0        0.0
      SWCH          6        267          3        0.0        0.0
      SWCH          6        267          4        0.0        0.0
      SWCH          6        267          5        0.0        0.0
      SWCH          6        267          6        0.0        0.0
      SWCH          6        267          7        0.0        0.0
      SWCH          6        267          8        0.0        0.0
      SWCH          6        267          9        0.0        0.0
      SWCH          6        267         10        0.0        0.0
      SWCH          6        268          1       18.8    19630.6
      SWCH          6        268          2        0.0        0.0
      SWCH          6        268          3        0.0        0.0
      SWCH          6        268          4        0.0        0.0
      SWCH          6        268          5        0.0        0.0
      SWCH          6        268          6        0.0        0.0
      SWCH          6        268          7        0.0        0.0
      SWCH          6        268          8        0.0        0.0
      SWCH          6        268          9        0.0        0.0
      SWCH          6        268         10        0.0        0.0
      SWCH          6        269          1       30.2    10395.0
      SWCH          6        269          2        0.0        0.0
      SWCH          6        269          3        0.0        0.0
      SWCH          6        269          4        0.0        0.0
      SWCH          6        269          5        0.0        0.0
      SWCH          6        269          6        0.0        0.0
      SWCH          6        269          7        0.0        0.0
      SWCH          6        269          8        0.0        0.0
      SWCH          6        269          9        0.0        0.0
      SWCH          6        269         10        0.0        0.0
      SWCH          6        270          1       30.3    10432.5
      SWCH          6        270          2        0.0        0.0
      SWCH          6        270          3        0.0        0.0
      SWCH          6        270          4        0.0        0.0
      SWCH          6        270          5        0.0        0.0
      SWCH          6        270          6        0.0        0.0
      SWCH          6        270          7        0.0        0.0
      SWCH          6        270          8        0.0        0.0
      SWCH          6        270          9        0.0        0.0
      SWCH          6        270         10        0.0        0.0
      SWCH          6        271          1       31.0    11027.0
      SWCH          6        271          2        0.0        0.0
      SWCH          6        271          3        0.0        0.0
      SWCH          6        271          4        0.0        0.0
      SWCH          6        271          5        0.0        0.0
      SWCH          6        271          6        0.0        0.0
      SWCH          6        271          7        0.0        0.0
      SWCH          6        271          8        0.0        0.0
      SWCH          6        271          9        0.0        0.0
      SWCH          6        271         10        0.0        0.0
      SWCH          6        272          1       30.2    10403.2
      SWCH          6        272          2        0.0        0.0
      SWCH          6        272          3        0.0        0.0
      SWCH          6        272          4        0.0        0.0
      SWCH          6        272          5        0.0        0.0
      SWCH          6        272          6        0.0        0.0
      SWCH          6        272          7        0.0        0.0
      SWCH          6        272          8        0.0        0.0
      SWCH          6        272          9        0.0        0.0
      SWCH          6        272         10        0.0        0.0
      SWCH          6        273          1       22.3    24047.5
      SWCH          6        273          2        0.0        0.0
      SWCH          6        273          3        0.0        0.0
      SWCH          6        273          4        0.0        0.0
      SWCH          6        273          5        0.0        0.0
      SWCH          6        273          6        0.0        0.0
      SWCH          6        273          7        0.0        0.0
      SWCH          6        273          8        0.0        0.0
      SWCH          6        273          9        0.0        0.0
      SWCH          6        273         10        0.0        0.0
      SWCH          6        274          1       22.3    24043.9
      SWCH          6        274          2        0.0        0.0
      SWCH          6        274          3        0.0        0.0
      SWCH          6        274          4        0.0        0.0
      SWCH          6        274          5        0.0        0.0
      SWCH          6        274          6        0.0        0.0
      SWCH          6        274          7        0.0        0.0
      SWCH          6        274          8        0.0        0.0
      SWCH          6        274          9        0.0        0.0
      SWCH          6        274         10        0.0        0.0
      SWCH          6        275          1       22.3    24052.1
      SWCH          6        275          2        0.0        0.0
      SWCH          6        275          3        0.0        0.0
      SWCH          6        275          4        0.0        0.0
      SWCH          6        275          5        0.0        0.0
      SWCH          6        275          6        0.0        0.0
      SWCH          6        275          7        0.0        0.0
      SWCH          6        275          8        0.0        0.0
      SWCH          6        275          9        0.0        0.0
      SWCH          6        275         10        0.0        0.0
      SWCH          6        276          1       22.8    24327.7
      SWCH          6        276          2        0.0        0.0
      SWCH          6        276          3        0.0        0.0
      SWCH          6        276          4        0.0        0.0
      SWCH          6        276          5        0.0        0.0
      SWCH          6        276          6        0.0        0.0
      SWCH          6        276          7        0.0        0.0
      SWCH          6        276          8        0.0        0.0
      SWCH          6        276          9        0.0        0.0
      SWCH          6        276         10        0.0        0.0
      SWCH          6        277          1       56.6     7584.5
      SWCH          6        277          2        0.0        0.0
      SWCH          6        277          3        0.0        0.0
      SWCH          6        277          4        0.0        0.0
      SWCH          6        277          5        0.0        0.0
      SWCH          6        277          6        0.0        0.0
      SWCH          6        277          7        0.0        0.0
      SWCH          6        277          8        0.0        0.0
      SWCH          6        277          9        0.0        0.0
      SWCH          6        277         10        0.0        0.0
      SWCH          6        278          1       52.4     7435.8
      SWCH          6        278          2        0.0        0.0
      SWCH          6        278          3        0.0        0.0
      SWCH          6        278          4        0.0        0.0
      SWCH          6        278          5        0.0        0.0
      SWCH          6        278          6        0.0        0.0
      SWCH          6        278          7        0.0        0.0
      SWCH          6        278          8        0.0        0.0
      SWCH          6        278          9        0.0        0.0
      SWCH          6        278         10        0.0        0.0
      SWCH          6        279          1       52.4     7434.6
      SWCH          6        279          2        0.0        0.0
      SWCH          6        279          3        0.0        0.0
      SWCH          6        279          4        0.0        0.0
      SWCH          6        279          5        0.0        0.0
      SWCH          6        279          6        0.0        0.0
      SWCH          6        279          7        0.0        0.0
      SWCH          6        279          8        0.0        0.0
      SWCH          6        279          9        0.0        0.0
      SWCH          6        279         10        0.0        0.0
      SWCH          6        280          1       52.5     7439.6
      SWCH          6        280          2        0.0        0.0
      SWCH          6        280          3        0.0        0.0
      SWCH          6        280          4        0.0        0.0
      SWCH          6        280          5        0.0        0.0
      SWCH          6        280          6        0.0        0.0
      SWCH          6        280          7        0.0        0.0
      SWCH          6        280          8        0.0        0.0
      SWCH          6        280          9        0.0        0.0
      SWCH          6        280         10        0.0        0.0
      SWCH          9        481          1       10.3    27818.6
      SWCH          9        481          2        0.0        0.0
      SWCH          9        481          3        0.0        0.0
      SWCH          9        481          4        0.0        0.0
